"peepoJAM 󠀀","2020-05-21 15:55:23","castro_1021","DecyDodds","subscriber/3"
"alphal3Iq","2020-05-21 15:55:23","hasanabi","SMiTm4sTaF13x","premium/1"
"MiNz.exe has stopped","2020-05-21 15:55:23","wilbursoot","daogeverything676yt","none"
"My balls don't work LULW","2020-05-21 15:55:23","sodapoppin","PotehtoO","overwatch-league-insider_1/1"
"lex you should make a discord server for the community","2020-05-21 15:55:23","mrtlexify","CrayZ_Gravy","none"
"what the falk Kappa","2020-05-21 15:55:23","nick28t","nickwilson97","subscriber/9"
"elaThirst","2020-05-21 15:55:23","elajjaz","Larsn2k","subscriber/12"
"Just go to sleep","2020-05-21 15:55:23","mrtlexify","gary_bearz","none"
"PPogo","2020-05-21 15:55:23","quin69","obnus_","subscriber/6,premium/1"
"niiiiiiiiiiiiiiiiiice","2020-05-21 15:55:23","tfblade","megacheater","none"
"this makes me sad :/","2020-05-21 15:55:23","drdisrespect","rarestep","subscriber/0,premium/1"
"SLI has been dead for years bro","2020-05-21 15:55:23","drdisrespect","TacoWafflez","subscriber/6,premium/1"
"use the Gold Filter!!!!!! sheesh lol","2020-05-21 15:55:23","nick28t","bdub2890","subscriber/9"
"EVEN FAZE BANKSSS","2020-05-21 15:55:23","hasanabi","sadboyinnyc","subscriber/0"
"do a infinite warfare map other than zis","2020-05-21 15:55:23","mrtlexify","kappakonnor","none"
"!followage","2020-05-21 15:55:23","castro_1021","llnnpp","premium/1"
"h3h3 PainsChamp","2020-05-21 15:55:23","hasanabi","spy_puts","premium/1"
"THEY ARE NOT STUPID LUL","2020-05-21 15:55:23","asmongold","Hufferino","none"
"SLI is trash now wtf ???????","2020-05-21 15:55:23","timthetatman","GoatFingers","premium/1"
"@LukeAdrian29 how long since you joined in?","2020-05-21 15:55:23","nick28t","randy_28t","subscriber/0"
"@MiSterS0L0 all im saying is that MW is by no means a bad game. if it was then why are millions of people playing it","2020-05-21 15:55:23","tfue","CarbonFluorine","subscriber/3,sub-gifter/1"
"5Head","2020-05-21 15:55:23","asmongold","Genfulee","premium/1"
"PepeHands","2020-05-21 15:55:23","sodapoppin","Fezren","none"
"gachiHYPER","2020-05-21 15:55:23","elajjaz","Nopileos","subscriber/60,sub-gifter/100"
"REEEE","2020-05-21 15:55:23","hasanabi","MCWheelEasy","subscriber/0,premium/1"
"Hiko is getting married tomorrow","2020-05-21 15:55:23","hiko","joftraklul","subscriber/0,premium/1"
"YEP TRUE","2020-05-21 15:55:23","asmongold","Bootch","subscriber/0"
"balls dont work LULW","2020-05-21 15:55:23","sodapoppin","embrs","subscriber/12"
"Uuu","2020-05-21 15:55:23","tfblade","ItIsBurn","premium/1"
"@GMHikaru did most of the old pros grow up into wealth...who makes up the upper tier of players?","2020-05-21 15:55:23","gmhikaru","non_toxic_streamer","none"
"has Milo completed the DE EE yet it's taking him 5 months","2020-05-21 15:55:23","mrtlexify","picklezarejuicy","none"
"Disable SLI","2020-05-21 15:55:23","drdisrespect","logical_robot","subscriber/3,premium/1"
"denty200213 chilling CoolStoryBob","2020-05-21 15:55:23","nick28t","Armellica","moderator/1,subscriber/24,bits/1000"
"fiddle KEKW","2020-05-21 15:55:23","tfblade","ToastyPie","subscriber/3"
"doesn't work with walls","2020-05-21 15:55:23","tfue","beancurdguy","subscriber/6,premium/1"
"5head","2020-05-21 15:55:24","asmongold","smoothbox64","none"
"women dj'ing lmfao","2020-05-21 15:55:24","bandsintown","ashleyryanm1992","none"
"Vip's ands mods get audio and cam mehdiO","2020-05-21 15:55:24","buddha","Howeller_","vip/1"
"SLI ruins games","2020-05-21 15:55:24","timthetatman","Lobosolo85","premium/1"
"PAPA PepeHands","2020-05-21 15:55:24","imaqtpie","Iohai","subscriber/0"
"RAGIN","2020-05-21 15:55:24","drdisrespect","237david","subscriber/0,premium/1"
"@i_am_bad__ tim got silver 2 doc got bronze 3","2020-05-21 15:55:24","timthetatman","WolfPrime1","subscriber/12,sub-gifter/10"
"Bro just ask Tim lmao","2020-05-21 15:55:24","natehill","MrS1gg","premium/1"
"SLI is dead","2020-05-21 15:55:24","timthetatman","pilzburied","none"
"@itsDKay I know but it's really like he's solving puzzles","2020-05-21 15:55:24","gmhikaru","rabbitinie","subscriber/0"
"I don’t think so","2020-05-21 15:55:24","benjyfishy","tarikareem","premium/1"
"?","2020-05-21 15:55:24","asmongold","zectartv","none"
"!watchtime","2020-05-21 15:55:24","onscreen","apuelarchimago","none"
"Is that a ducking cheater","2020-05-21 15:55:24","tfue","trstn_vxrsy","subscriber/0"
"YEAH THATS FUCKIN RIGHT QT","2020-05-21 15:55:24","shiphtur","vattimogaming","subscriber/6,sub-gifter/1"
"is the the 315k pc in action","2020-05-21 15:55:24","drdisrespect","Dragonkin37","subscriber/12,premium/1"
